date;heure;PM10;NO2
;;microg/m3;microg/m3
19/03/2011;17;n/d;n/d
19/03/2011;18;n/d;n/d
19/03/2011;19;n/d;n/d
19/03/2011;20;n/d;n/d
19/03/2011;21;n/d;n/d
19/03/2011;22;n/d;n/d
19/03/2011;23;n/d;n/d
19/03/2011;24;n/d;n/d
20/03/2011;1;n/d;n/d
20/03/2011;2;n/d;n/d
20/03/2011;3;n/d;n/d
20/03/2011;4;n/d;n/d
20/03/2011;5;n/d;n/d
20/03/2011;6;n/d;n/d
20/03/2011;7;n/d;n/d
20/03/2011;8;n/d;n/d
20/03/2011;9;n/d;n/d
20/03/2011;10;n/d;n/d
20/03/2011;11;n/d;n/d
20/03/2011;12;n/d;n/d
20/03/2011;13;n/d;n/d
20/03/2011;14;n/d;n/d
20/03/2011;15;n/d;n/d
20/03/2011;16;n/d;n/d
20/03/2011;17;n/d;n/d
20/03/2011;18;n/d;n/d
20/03/2011;19;n/d;n/d
20/03/2011;20;n/d;n/d
20/03/2011;21;n/d;n/d
20/03/2011;22;n/d;n/d
20/03/2011;23;n/d;n/d
20/03/2011;24;n/d;n/d
21/03/2011;1;n/d;n/d
21/03/2011;2;n/d;n/d
21/03/2011;3;n/d;n/d
21/03/2011;4;n/d;n/d
21/03/2011;5;n/d;n/d
21/03/2011;6;n/d;n/d
21/03/2011;7;n/d;n/d
21/03/2011;8;n/d;n/d
21/03/2011;9;n/d;n/d
21/03/2011;10;n/d;n/d
21/03/2011;11;n/d;n/d
21/03/2011;12;n/d;n/d
21/03/2011;13;n/d;n/d
21/03/2011;14;n/d;n/d
21/03/2011;15;n/d;85
21/03/2011;16;n/d;94
21/03/2011;17;n/d;99
21/03/2011;18;n/d;117
21/03/2011;19;n/d;118
21/03/2011;20;n/d;121
21/03/2011;21;n/d;123
21/03/2011;22;n/d;123
21/03/2011;23;n/d;108
21/03/2011;24;n/d;97
22/03/2011;1;n/d;92
22/03/2011;2;n/d;79
22/03/2011;3;n/d;70
22/03/2011;4;n/d;69
22/03/2011;5;n/d;76
22/03/2011;6;n/d;92
22/03/2011;7;n/d;127
22/03/2011;8;n/d;126
22/03/2011;9;n/d;132
22/03/2011;10;n/d;99
22/03/2011;11;n/d;92
22/03/2011;12;n/d;90
22/03/2011;13;n/d;79
22/03/2011;14;n/d;87
22/03/2011;15;n/d;88
22/03/2011;16;n/d;94
22/03/2011;17;n/d;101
22/03/2011;18;n/d;117
22/03/2011;19;n/d;159
22/03/2011;20;n/d;140
22/03/2011;21;n/d;111
22/03/2011;22;n/d;106
22/03/2011;23;n/d;99
22/03/2011;24;n/d;97
23/03/2011;1;n/d;86
23/03/2011;2;n/d;89
23/03/2011;3;n/d;77
23/03/2011;4;n/d;74
23/03/2011;5;n/d;77
23/03/2011;6;n/d;84
23/03/2011;7;n/d;104
23/03/2011;8;n/d;125
23/03/2011;9;n/d;112
23/03/2011;10;n/d;119
23/03/2011;11;n/d;106
23/03/2011;12;n/d;109
23/03/2011;13;n/d;95
23/03/2011;14;n/d;89
23/03/2011;15;n/d;104
23/03/2011;16;n/d;102
23/03/2011;17;n/d;120
23/03/2011;18;n/d;132
23/03/2011;19;n/d;145
23/03/2011;20;n/d;143
23/03/2011;21;n/d;140
23/03/2011;22;n/d;124
23/03/2011;23;n/d;105
23/03/2011;24;n/d;91
24/03/2011;1;n/d;81
24/03/2011;2;n/d;70
24/03/2011;3;n/d;58
24/03/2011;4;n/d;56
24/03/2011;5;n/d;64
24/03/2011;6;n/d;82
24/03/2011;7;n/d;108
24/03/2011;8;n/d;115
24/03/2011;9;n/d;108
24/03/2011;10;n/d;n/d
24/03/2011;11;n/d;n/d
24/03/2011;12;n/d;n/d
24/03/2011;13;n/d;n/d
24/03/2011;14;n/d;n/d
24/03/2011;15;n/d;n/d
24/03/2011;16;n/d;129
24/03/2011;17;n/d;140
24/03/2011;18;n/d;147
24/03/2011;19;n/d;152
24/03/2011;20;n/d;171
24/03/2011;21;n/d;177
24/03/2011;22;n/d;182
24/03/2011;23;n/d;154
24/03/2011;24;n/d;170
